title,weight,price,images,product_links
"Frugi Moonlight Stars/Owl Jamie Jim Jams, 2-5 Years ",,£24,https://www.ocado.com/productImages/567/567302011_0_150x150.jpg?identifier=b0d446c22bfc01983f4ee5596f14ff3c,https://www.ocado.com/products/frugi-moonlight-stars-owl-jamie-jim-jams-2-5-years-567302011
"Frugi Moonlight Stars Owl Cameron Romper, 0-24 Months",,£18,https://www.ocado.com/productImages/567/567205011_0_150x150.jpg?identifier=225de0553ba9a8d3990cb277e3b0ec8d,https://www.ocado.com/products/frugi-moonlight-stars-owl-cameron-romper-0-24-months-567205011
"Frugi Mountainside Floral Libby Printed Leggings, 2-6 years",,£12,https://www.ocado.com/productImages/567/567253011_0_150x150.jpg?identifier=62994b479a2611a4bf2fd5dae1aeef88,https://www.ocado.com/products/frugi-mountainside-floral-libby-printed-leggings-2-6-years-567253011
"Frugi Mountainside Floral Sara Slub Skater Dress, 2-6 Years",,£24,https://www.ocado.com/productImages/567/567299011_0_150x150.jpg?identifier=2518f63a2d828124a12a95b4d10cf789,https://www.ocado.com/products/frugi-mountainside-floral-sara-slub-skater-dress-2-6-years-567299011
"Frugi Multi Animals Finlay Socks 5 Pack, 0-6 Years",,£13.50,https://www.ocado.com/productImages/567/567281011_0_150x150.jpg?identifier=29af18687c7537ac55677b3d4f1d8b4b,https://www.ocado.com/products/frugi-multi-animals-finlay-socks-5-pack-0-6-years-567281011
"Frugi Organic 2pk Tights, 2-4 Years, Grey Rainbow Stripe",2 per pack,£17.25,https://www.ocado.com/productImages/559/559243011_0_150x150.jpg?identifier=e6aa7c37cd2f21cbf4b4edf2b16835e3,https://www.ocado.com/products/frugi-organic-2pk-tights-2-4-years-grey-rainbow-stripe-559243011
"Frugi Organic 2pk Tights, 4-6 Years, Grey Rainbow Stripe",2 per pack,£17.25,https://www.ocado.com/productImages/559/559244011_0_150x150.jpg?identifier=e6ca6f688e29bcd8ab616f50b17f8b66,https://www.ocado.com/products/frugi-organic-2pk-tights-4-6-years-grey-rainbow-stripe-559244011
"Frugi Organic 3 Pack Body, 0-24 Months, Watermelon/Geese",,£22.50,https://www.ocado.com/productImages/561/561061011_0_150x150.jpg?identifier=85f253a1f2d43eddf137c705419881cc,https://www.ocado.com/products/frugi-organic-3-pack-body-0-24-months-watermelon-geese-561061011
"Frugi Organic Applique Top,  2-6 Years, Yellow/Fire Engine",,£16.50,https://www.ocado.com/productImages/561/561068011_0_150x150.jpg?identifier=66eb60d8c64e65375bf812ee41634cf0,https://www.ocado.com/products/frugi-organic-applique-top-2-6-years-yellow-fire-engine-561068011
"Frugi Organic Babygrow, 0-18 Months, Farm print",,£15,https://www.ocado.com/productImages/561/561056011_0_150x150.jpg?identifier=5298592af322502edcf0ff1cf1c1f98a,https://www.ocado.com/products/frugi-organic-babygrow-0-18-months-farm-print-561056011
