title,weight,price,shelf_life,images,product_link,category_link
Lurpak Spreadable Slightly Salted Butter Blended with Rapeseed Oil,500g,£3.25,LIFE 3w+,https://www.ocado.com/productImages/131/13175011_0_150x150.jpg?identifier=44ed6c84218d6b265453e4ff2b58c03b,https://www.ocado.com/products/lurpak-spreadable-slightly-salted-butter-blended-with-rapeseed-oil-13175011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Royal Gala Apples,6 per pack,£1.60,LIFE 5d+,https://www.ocado.com/productImages/648/64861011_0_150x150.jpg?identifier=b84086afb1d0c4027e56dfd55c8911df,https://www.ocado.com/products/ocado-royal-gala-apples-64861011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S British Double Cream,300ml,£1.20,LIFE 4d+,https://www.ocado.com/productImages/505/505951011_0_150x150.jpg?identifier=4eaeaf604672a3fbd82cd026b0d3ff20,https://www.ocado.com/products/m-s-british-double-cream-505951011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Large Garlic,,60p,LIFE 1w+,https://www.ocado.com/productImages/913/91370011_0_150x150.jpg?identifier=a097c92b5501ae8b8cd01e1a0fd4c37b,https://www.ocado.com/products/ocado-large-garlic-91370011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Organic Blueberries,150g,£2.50,LIFE 3d+,https://www.ocado.com/productImages/910/91089011_0_150x150.jpg?identifier=d20301f9723112a09e0c262c9d5195b0,https://www.ocado.com/products/ocado-organic-blueberries-91089011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Mixed Seedless Grapes,500g,£2,LIFE 3d+,https://www.ocado.com/productImages/967/96797011_0_150x150.jpg?identifier=2d8af0f4c6fe1beeadc45387433ada35,https://www.ocado.com/products/ocado-mixed-seedless-grapes-96797011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S British Roast Chicken Slices,130g,£2.75,LIFE 1d+,https://www.ocado.com/productImages/515/515281011_0_150x150.jpg?identifier=36a583d2261a405a7b5f8fc216833d4a,https://www.ocado.com/products/m-s-british-roast-chicken-slices-515281011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Philadelphia Original Soft Cheese,180g,£1.95,LIFE 3w+,https://www.ocado.com/productImages/147/14702011_0_150x150.jpg?identifier=dd962b82bf7d0e8e02ee678ca89116f1,https://www.ocado.com/products/philadelphia-original-soft-cheese-14702011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Seedless Red Grapes,500g,£2.35,LIFE 3d+,https://www.ocado.com/productImages/518/518292011_0_150x150.jpg?identifier=17deeb1c220df0b635469314d0e46751,https://www.ocado.com/products/m-s-seedless-red-grapes-518292011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
The Collective Suckies Strawberry Yoghurt,100g,75p,LIFE 1w+,https://www.ocado.com/productImages/234/234423011_0_150x150.jpg?identifier=002495ef7a844e5bde13357cfa75f5c6,https://www.ocado.com/products/the-collective-suckies-strawberry-yoghurt-234423011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Baby Spinach,240g,£1.80,LIFE 2d+,https://www.ocado.com/productImages/310/310608011_0_150x150.jpg?identifier=e48c9ceb3ee756d6baee46554d04b4df,https://www.ocado.com/products/ocado-baby-spinach-310608011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Free Range Large Eggs,12 per pack,£3.75,LIFE 6d+,https://www.ocado.com/productImages/505/505171011_0_150x150.jpg?identifier=31368b5912454138285a65703e6c2cea,https://www.ocado.com/products/m-s-free-range-large-eggs-505171011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
